"X","X2011T1","X2011T2","X2011T3","X2011T4","X2012T1","X2012T2","X2012T3","X2012T4","X2013T1","X2013T2","X2013T3","X2013T4","X2014T1","X2014T2","X2014T3","X2014T4","X2015T1","X2015T2","X2015T3","X2015T4","X2016T1","X2016T2","X2016T3","X2016T4","X2017T1","X2017T2","X2017T3","X2017T4","X2018T1","X2018T2","X2018T3","X2018T4","X2019T1","X2019T2","X2019T3","X2019T4","X2020T1","X2020T2","X2020T3","X2020T4","X2021T1","X2021T2","X2021T3","X2021T4","X2022T1","X2022T2","X2022T3","X2022T4","X2023T1","X2023T2","X2023T3","X2023T4"
"Asturias, Principado de_PIB","20.69","20.69","20.69","20.69","19.83","19.83","19.83","19.83","19.44","19.44","19.44","19.44","19.48","19.48","19.48","19.48","20.35","20.35","20.35","20.35","20.81","20.81","20.81","20.81","21.83","21.83","21.83","21.83","22.59","22.59","22.59","22.59","23.18","23.18","23.18","23.18","20.93","20.93","20.93","20.93","23.27","23.27","23.27","23.27","25.69","25.69","25.69","25.69","25.67","25.67","25.67","25.67"
"Balears, Illes_PIB","23.72","23.72","23.72","23.72","23.21","23.21","23.21","23.21","23.36","23.36","23.36","23.36","24.3","24.3","24.3","24.3","25.6","25.6","25.6","25.6","26.94","26.94","26.94","26.94","28.12","28.12","28.12","28.12","29","29","29","29","29.52","29.52","29.52","29.52","22.36","22.36","22.36","22.36","25.38","25.38","25.38","25.38","29.88","29.88","29.88","29.88","29.31","29.31","29.31","29.31"
"Canarias_PIB","19.09","19.09","19.09","19.09","18.51","18.51","18.51","18.51","18.44","18.44","18.44","18.44","18.68","18.68","18.68","18.68","19.33","19.33","19.33","19.33","19.99","19.99","19.99","19.99","20.97","20.97","20.97","20.97","21.54","21.54","21.54","21.54","21.91","21.91","21.91","21.91","17.75","17.75","17.75","17.75","19.66","19.66","19.66","19.66","22.43","22.43","22.43","22.43","22.15","22.15","22.15","22.15"
"Cantabria_PIB","21.28","21.28","21.28","21.28","20.49","20.49","20.49","20.49","20.07","20.07","20.07","20.07","20.51","20.51","20.51","20.51","21.08","21.08","21.08","21.08","21.88","21.88","21.88","21.88","22.8","22.8","22.8","22.8","23.69","23.69","23.69","23.69","24.4","24.4","24.4","24.4","22.05","22.05","22.05","22.05","23.98","23.98","23.98","23.98","26.23","26.23","26.23","26.23","26.1","26.1","26.1","26.1"
"Castilla y León_PIB","21.33","21.33","21.33","21.33","20.76","20.76","20.76","20.76","20.46","20.46","20.46","20.46","20.68","20.68","20.68","20.68","21.55","21.55","21.55","21.55","22.38","22.38","22.38","22.38","23.11","23.11","23.11","23.11","24.3","24.3","24.3","24.3","24.92","24.92","24.92","24.92","22.9","22.9","22.9","22.9","24.85","24.85","24.85","24.85","27.04","27.04","27.04","27.04","26.94","26.94","26.94","26.94"
"Castilla - La Mancha_PIB","18.09","18.09","18.09","18.09","17.38","17.38","17.38","17.38","17.22","17.22","17.22","17.22","17.03","17.03","17.03","17.03","18.04","18.04","18.04","18.04","18.77","18.77","18.77","18.77","19.64","19.64","19.64","19.64","20.47","20.47","20.47","20.47","20.86","20.86","20.86","20.86","19.24","19.24","19.24","19.24","20.88","20.88","20.88","20.88","22.7","22.7","22.7","22.7","22.42","22.42","22.42","22.42"
"Cataluña_PIB","26.38","26.38","26.38","26.38","25.55","25.55","25.55","25.55","25.44","25.44","25.44","25.44","26.01","26.01","26.01","26.01","27.23","27.23","27.23","27.23","28.27","28.27","28.27","28.27","29.31","29.31","29.31","29.31","30.14","30.14","30.14","30.14","31.05","31.05","31.05","31.05","27.33","27.33","27.33","27.33","29.94","29.94","29.94","29.94","32.87","32.87","32.87","32.87","32.29","32.29","32.29","32.29"
"Comunitat Valenciana_PIB","19.48","19.48","19.48","19.48","18.55","18.55","18.55","18.55","18.46","18.46","18.46","18.46","19.27","19.27","19.27","19.27","20.11","20.11","20.11","20.11","20.81","20.81","20.81","20.81","21.82","21.82","21.82","21.82","22.51","22.51","22.51","22.51","23.1","23.1","23.1","23.1","20.71","20.71","20.71","20.71","22.66","22.66","22.66","22.66","24.75","24.75","24.75","24.75","24.24","24.24","24.24","24.24"
"Extremadura_PIB","15.99","15.99","15.99","15.99","15.4","15.4","15.4","15.4","15.47","15.47","15.47","15.47","15.5","15.5","15.5","15.5","16.39","16.39","16.39","16.39","17.01","17.01","17.01","17.01","18.09","18.09","18.09","18.09","18.73","18.73","18.73","18.73","19.18","19.18","19.18","19.18","17.71","17.71","17.71","17.71","19.45","19.45","19.45","19.45","21.32","21.32","21.32","21.32","21.37","21.37","21.37","21.37"
"Galicia_PIB","19.95","19.95","19.95","19.95","19.4","19.4","19.4","19.4","19.51","19.51","19.51","19.51","19.73","19.73","19.73","19.73","20.75","20.75","20.75","20.75","21.43","21.43","21.43","21.43","22.3","22.3","22.3","22.3","23.11","23.11","23.11","23.11","23.79","23.79","23.79","23.79","21.71","21.71","21.71","21.71","23.66","23.66","23.66","23.66","25.93","25.93","25.93","25.93","25.87","25.87","25.87","25.87"
"Madrid, Comunidad de_PIB","30.58","30.58","30.58","30.58","30.02","30.02","30.02","30.02","29.58","29.58","29.58","29.58","30.13","30.13","30.13","30.13","31.72","31.72","31.72","31.72","32.84","32.84","32.84","32.84","34.2","34.2","34.2","34.2","35.18","35.18","35.18","35.18","36.33","36.33","36.33","36.33","32.31","32.31","32.31","32.31","35.31","35.31","35.31","35.31","38.81","38.81","38.81","38.81","38.08","38.08","38.08","38.08"
"Murcia, Región de_PIB","18.53","18.53","18.53","18.53","17.98","17.98","17.98","17.98","18.06","18.06","18.06","18.06","18.23","18.23","18.23","18.23","19.43","19.43","19.43","19.43","20.05","20.05","20.05","20.05","20.77","20.77","20.77","20.77","21.03","21.03","21.03","21.03","21.63","21.63","21.63","21.63","19.7","19.7","19.7","19.7","21.55","21.55","21.55","21.55","23.41","23.41","23.41","23.41","23.08","23.08","23.08","23.08"
"Navarra, Comunidad Foral de_PIB","27.95","27.95","27.95","27.95","26.81","26.81","26.81","26.81","26.76","26.76","26.76","26.76","27.34","27.34","27.34","27.34","28.34","28.34","28.34","28.34","29.26","29.26","29.26","29.26","30.36","30.36","30.36","30.36","30.98","30.98","30.98","30.98","31.91","31.91","31.91","31.91","28.64","28.64","28.64","28.64","30.99","30.99","30.99","30.99","34","34","34","34","33.62","33.62","33.62","33.62"
"País Vasco_PIB","29.36","29.36","29.36","29.36","28.52","28.52","28.52","28.52","28.14","28.14","28.14","28.14","28.66","28.66","28.66","28.66","29.7","29.7","29.7","29.7","30.65","30.65","30.65","30.65","31.75","31.75","31.75","31.75","32.71","32.71","32.71","32.71","33.55","33.55","33.55","33.55","29.95","29.95","29.95","29.95","32.64","32.64","32.64","32.64","35.97","35.97","35.97","35.97","35.8","35.8","35.8","35.8"
"Rioja, La_PIB","24.48","24.48","24.48","24.48","23.6","23.6","23.6","23.6","23.43","23.43","23.43","23.43","24.12","24.12","24.12","24.12","25.13","25.13","25.13","25.13","25.38","25.38","25.38","25.38","26.3","26.3","26.3","26.3","27.25","27.25","27.25","27.25","27.85","27.85","27.85","27.85","25.34","25.34","25.34","25.34","26.98","26.98","26.98","26.98","29.73","29.73","29.73","29.73","29.48","29.48","29.48","29.48"
"Ceuta_PIB","19.12","19.12","19.12","19.12","18.15","18.15","18.15","18.15","18.45","18.45","18.45","18.45","18.18","18.18","18.18","18.18","18.97","18.97","18.97","18.97","19.36","19.36","19.36","19.36","19.54","19.54","19.54","19.54","20.21","20.21","20.21","20.21","20.94","20.94","20.94","20.94","19.66","19.66","19.66","19.66","21","21","21","21","22.97","22.97","22.97","22.97","22.97","22.97","22.97","22.97"
"Melilla_PIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andalucía_Generación",NA,NA,NA,NA,NA,NA,NA,NA,"2917488","2431580","3162848","3028479","2391248","2582913","3101982","2570141","2819199","2947193","3295105","2851411","2425206","2486865","3261337","2760055","2459829","3083041","3563782","3224355","2718842","2633371","3205422","2864489","2821968","2859293","3241998","2414984","1975762","2199833","3027050","2125748","2007971","2498932","2586742","2685910","2526508","2875617","4113240","2609641","2455562","2740994","3298890","2142909"
"Andalucía_Demanda",NA,NA,NA,NA,NA,NA,NA,NA,"3240888","2926617","3374201","3149460","3212320","2930365","3286709","3053201","3267738","3013717","3526601","3038138","3233642","3069118","3663841","3196745","3295242","3168366","3643264","3281540","3460590","3079944","3593147","3236913","3345843","3121920","3574948","3247523","3290014","2837973","3682022","3197528","3345998","3066321","3577481","3228056","3267163","3103972","3580594","2971884","3191185","2938162","3530046","3040132"
"Aragón_Generación",NA,NA,NA,NA,NA,NA,NA,NA,"1327013","1485864","1438508","1373638","1161298","1457859","1430859","1508385","1372561","1345811","1346807","1132469","1136559","1166156","1197591","1301684","1358153","1251777","1582619","1385497","1352390","1339942","1266504","1107045","1200188","1147864","1324058","1445150","1285429","1431859","1807927","1492207","1735387","1485248","1403412","1868696","1832121","1952970","1654240","1359621","1853735","1974352","1797208","1786263"
"Aragón_Demanda",NA,NA,NA,NA,NA,NA,NA,NA,"865046.4","809749","851082.8","841558.5","861900.6","815765","847946.5","836799.7","886052.6","833924.5","865900.9","845261.3","879195.2","851703.8","878804.4","866735.9","889898.5","879849.3","887917.1","895815.1","908199.9","865505.1","904777.1","885128.3","916124.2","883481.3","915467.1","887866.7","876567.7","765710.5","870456.4","858672.6","869104.8","857048.8","887524.2","874103.7","865795.4","855129.7","861538.4","820707","848010.7","790882.4","797065.6","790529.8"
"Asturias, Principado de_Generación",NA,NA,NA,NA,NA,NA,NA,NA,"1144979.5","829834.5","1201378.2","1359941.9","890826.4","974976.3","1289286.5","1245339.1","1438607.5","1145567.3","1464573.5","1554602.3","1137060","673943.1","1048205.8","1178434.2","1276441.6","1065276.9","984583.4","1368924.8","1136284.9","902458.2","1089641.7","1139584.9","954826","656680.8","745407.6","1016234.5","920699.8","638343.9","725109.5","829978.4","869474.3","778062.9","879147.2","1234517.1","1112430.5","881474.9","1165991.1","973235.1","887651.3","626192.5","658136.2","780005.4"
"Asturias, Principado de_Demanda",NA,NA,NA,NA,NA,NA,NA,NA,"903572.7","850741","833359.1","883677.8","900593.3","835599.5","829542.6","876127.3","925533.7","847596.9","843532.8","879181.2","919362.6","864360.5","854869.4","869282.2","908351.7","854363.4","858511.5","911680.7","929237.7","861559.7","856473.2","896028.3","858774.6","761754.3","752181","758322","788535.2","663267.4","683643.2","772856.8","810163.9","757749.8","733543.7","779873.2","776566.8","734963.2","716323.6","716150","720022.8","664123.3","671045.1","707232.9"
"Balears, Illes_Generación",NA,NA,NA,NA,NA,NA,NA,NA,"336249.9","344011.1","449148.8","336711.5","316603.2","347216.4","443753.1","318833.4","332498.8","364087.2","468108.5","319364.3","323367.1","366845.6","485240","348749.5","347437.4","409793.7","494313.7","360825","359896.6","391452","514933.5","341734.7","317050.8","345304.6","485684.9","325421.4","299622.6","251978.2","343793.4","276334.9","287699.7","310309.6","551464.1","396544.6","404881.8","460831.8","603570.6","343705.1","333899.6","356686.9","510068.2","323580.4"
"Balears, Illes_Demanda",NA,NA,NA,NA,NA,NA,NA,NA,"430902.6","438924.3","588103","431027.7","407874.5","444199.9","598784.3","408300.4","440338.3","456276.6","625109.3","407598.9","420666.5","472530.2","620786.9","427079.9","427292.5","491904.9","640377.8","445896.7","451961.3","479670.7","655885.6","431618.5","443318.8","487713.5","665729.3","441647","421244.2","336584","499567.6","389845.8","414249","406327.2","592642.8","429541.9","434665.5","494469.5","675348.4","409417.1","432525.8","470402.2","668205.5","428465.5"
"Canarias_Generación",NA,NA,NA,NA,NA,NA,NA,NA,"700748.8","693881.8","745477.1","726392.5","694348.6","685108.1","740390.4","728780.2","699865.1","685278.3","758310.6","734283.8","707569.4","697892.2","767102.9","742136.3","715775.4","721592.5","778629.6","761023.5","722535.8","708858","768647.8","747174.2","724178.4","713423","768817","751907.7","715003","577432.8","692192.1","664261.6","621726","630602.3","718276.6","719252.3","691706.8","689287.9","745252.1","719212.5","693915.1","696911.4","769949.9","755986"
"Canarias_Demanda",NA,NA,NA,NA,NA,NA,NA,NA,"700748.8","693881.8","745477.1","726392.5","694348.6","685108.1","740390.4","728780.2","699865.1","685278.3","758310.6","734283.8","707569.4","697892.2","767102.9","742136.3","715775.4","721592.5","778629.6","761023.5","722535.8","708858","768647.8","747174.2","724178.4","713423","768817","751907.7","715003","577432.8","692192.1","664261.6","621726","630602.3","718276.6","719252.3","691706.8","689287.9","745252.1","719212.5","693915.1","696911.4","769949.9","755986"
"Cantabria_Generación",NA,NA,NA,NA,NA,NA,NA,NA,"243150.1","221537.79","137834.51","150514.96","193839.2","165407.79","127544.89","133394.73","163345.64","154131.92","126347.32","123786.39","156036.7","150543.11","118187.71","155824.01","181078.38","152325.15","130250.73","191364.51","219430.41","190303.96","157308.47","170839.58","198367.32","194281.75","164005.09","209138.54","147127.28","122281.53","118103.18","154500.01","171064.4","131795.84","120827.53","140730","145481.38","145642.28","80023.22","123787.11","145530.55","144559.83","101566.16","141439.3"
"Cantabria_Demanda",NA,NA,NA,NA,NA,NA,NA,NA,"374884.3","364152.9","359671.3","364343.3","361485.8","360192.4","354862.7","365513.1","373071.8","349387.9","352075","342531.5","341665.3","354988.3","354723.5","350827.8","369428.2","362315.5","358865.9","367247.5","362659.9","353039.5","357167.3","351119.2","358345.2","350201","344990.5","342563.6","342901.4","294136.5","330981.1","333929.7","322497.9","346461.6","343361.9","326555.8","306468.3","318301.5","301948.9","279261.2","300957.4","284875.7","281781.1","288091.6"
"Castilla - La Mancha_Generación",NA,NA,NA,NA,NA,NA,NA,NA,"2388257","1517732","1799568","1889811","2195780","1621463","1785195","1899871","2155356","1646179","1826154","1567896","2157953","1651179","1661590","1622692","1987209","1574995","1712082","1868791","2221934","1535082","1637656","1830895","1961424","1744197","1814172","2096677","1844571","1634937","2110497","2058372","1956852","1671228","1963761","2118640","2108277","2001799","2237203","2164557","2400722","2071023","2587734","2468386"
"Castilla - La Mancha_Demanda",NA,NA,NA,NA,NA,NA,NA,NA,"1012403.9","898788.4","1015836.3","949200.2","995159.3","962231.7","990056","921240.6","1000674.2","928078.6","1016256.1","902358.8","978115.7","933130.6","1045939.2","938037.3","976426.3","964010.4","1023941.5","939908.4","1001026","964488.6","1045280.8","978036.2","1047003.5","968942.1","1053915.7","975210.7","996412.4","896526.4","1072709.5","954469.4","997602.8","969229.6","1064154.9","975298.6","989235.6","944327.8","1078271.4","892650.7","989533.9","908329.5","1008459.1","947638.2"
"Castilla y León_Generación",NA,NA,NA,NA,NA,NA,NA,NA,"2578725","2407412","2635637","2776117","3338117","2743016","2763546","2569054","2721719","2573530","2688648","2498796","3014372","2685841","2244295","2794257","2685791","1926887","1413314","2419317","2606265","2069822","2017894","2233639","2036295","1615624","1473994","2341643","2538368","1692035","1762725","2489773","3108697","1809232","1977830","2112938","1944211","1840673","1754754","2177893","2560829","1926891","1638822","2619570"
"Castilla y León_Demanda",NA,NA,NA,NA,NA,NA,NA,NA,"1202309.1","1064886.6","1121704.5","1158764.6","1190331.2","1072110.7","1114238.7","1133056.3","1216926.2","1084409.5","1153351.5","1154339.1","1214527.6","1117164.9","1164973.7","1166818.3","1210551.9","1134881","1151275.6","1192475.8","1256324.1","1130984.3","1177822.5","1196976.5","1216747.2","1150085.5","1169081.4","1191493.6","1191659.6","970294.7","1146259.8","1168284.9","1186293.3","1088823.1","1132402.5","1148485.5","1169766.7","1094549.8","1121785.9","1072451.6","1137000.5","1016325","1068579.8","1110632.1"
"Cataluña_Generación",NA,NA,NA,NA,NA,NA,NA,NA,"4044522","3635243","3923113","3406899","3694198","3390580","3446611","3313089","3874080","3433419","3724849","3305821","3673306","3595607","3644946","3458397","3796052","3557239","3870309","3711786","3640442","3338661","3625036","3553848","3887399","3645684","4035247","3500658","3787258","3369672","3739473","3423026","3482807","3116210","3474286","3219023","3532114","3427876","3807230","3106182","3312918","3143485","3381255","2918013"
"Cataluña_Demanda",NA,NA,NA,NA,NA,NA,NA,NA,"3989984","3652277","3915072","3839792","3931988","3605829","3880328","3772410","4000934","3701567","4025182","3797196","3944187","3738647","4063473","3864842","4011652","3857384","4083736","3982324","4060498","3772020","4105681","3856456","4012544","3713115","4085806","3863696","3858534","3188389","3862210","3776505","3875743","3550494","3812541","3668130","3813087","3648447","3968097","3535097","3780556","3442624","3858960","3654354"
"Comunitat Valenciana_Generación",NA,NA,NA,NA,NA,NA,NA,NA,"1724316","1529243","1489721","1497984","1671020","1576215","1691777","1685507","1728895","1512931","1610982","1356378","1776558","1657727","1617918","1820152","1665740","1507919","1332420","1180899","1604808","1561894","1467443","1740327","1725333","1638678","1577304","1348317","1539379","1418600","1685665","1729359","1528599","1452458","1511111","1483236","1481524","1453886","1711804","1657173","1520490","1594894","1550209","1253003"
"Comunitat Valenciana_Demanda",NA,NA,NA,NA,NA,NA,NA,NA,"2192502","1984360","2250698","2181705","2158655","2017372","2307864","2120598","2267084","2087411","2413391","2123005","2231578","2125033","2401179","2171687","2241140","2133487","2396831","2213282","2309931","2132060","2475199","2162962","2269915","2126654","2467301","2206208","2243516","1819648","2369573","2187862","2271468","2090944","2409785","2184353","2299234","2161178","2508072","2050167","2240655","1999959","2437757","2110511"
"Extremadura_Generación",NA,NA,NA,NA,NA,NA,NA,NA,"1423138","2052563","2016171","1467336","1800440","1952805","1676678","1737868","1717736","1760085","1948558","1602111","1274732","2150863","2098691","1476416","1802320","1853659","1691803","1709433","1796536","1702172","2099024","1396243","1754018","1940391","1970811","1345565","1730053","1301697","2206720","1879808","1921516","2254233","2422501","1630859","2009634","2547408","2442967","1742451","2425776","2512190","2788138","2180934"
"Extremadura_Demanda",NA,NA,NA,NA,NA,NA,NA,NA,"422408.9","361343.9","439415","394222.2","398635.5","345187.7","415524.6","382204.2","419028.5","370294","439880.3","377270.6","415263.7","371863.7","464593.1","399392.7","412860.8","394842.8","455727.5","410995.7","429746","384492.7","456654.2","419588","413647","385011.1","447871.7","408909.8","413988.4","356722.6","469747.1","410072.7","435931.6","388728.3","449295.3","411137.3","423108.8","383179.9","440463.3","369574.4","415287.5","354665.6","425333.3","391663.4"
"Galicia_Generación",NA,NA,NA,NA,NA,NA,NA,NA,"3109013","2479654","2313264","3042182","3230357","2208312","2222616","2681776","2885362","2103306","2184583","2610027","3250145","2266775","2181325","2402888","2418671","1937741","2056348","2320937","2980188","2238411","2235741","2984083","2500506","1633031","1512954","2638779","2671850","1659246","1486618","2367533","2900901","1783909","1456181","1929769","1876755","1557166","1508885","2528298","2561831","1553101","1261547","2580913"
"Galicia_Demanda",NA,NA,NA,NA,NA,NA,NA,NA,"1757307","1592806","1572742","1700474","1751129","1568550","1569293","1696237","1776803","1574415","1563521","1657093","1756833","1614008","1584762","1696948","1738058","1590484","1593368","1709563","1811679","1646133","1601563","1693982","1655354","1452812","1451935","1589667","1555633","1345178","1382317","1521235","1581158","1415086","1376041","1477794","1267976","1165069","1055027","1099130","1175117","1025922","1003433","1117459"
"Madrid, Comunidad de_Generación",NA,NA,NA,NA,NA,NA,NA,NA,"143096.79","145718.62","130648.21","123987.9","123602.76","106778.29","100668.41","102903.27","101710.53","99028.38","103238.63","96665.05","91056.76","111798.72","106476.05","99130.75","112611.9","108507.15","106442.24","81302.76","82935.99","110305.48","106610.59","117250.96","110038.36","120712.04","106370.12","116889.43","109573.89","109263.1","109312.03","102008.72","124455.03","101385.07","110151.18","108710.04","99587.2","93926.74","68536.96","50700.04","79905.25","84955.7","76804.1","71282.55"
"Madrid, Comunidad de_Demanda",NA,NA,NA,NA,NA,NA,NA,NA,"2695665","2266652","2395960","2508271","2573809","2165034","2310172","2406607","2591766","2222185","2427216","2355947","2562646","2259267","2418531","2390293","2527675","2265741","2342483","2395291","2602059","2215693","2368601","2402969","2483801","2216205","2358566","2426495","2454552","1900157","2264759","2350180","2460649","2134775","2226412","2323165","2438758","2193092","2345753","2196191","2391196","2018566","2276887","2350999"
"Murcia, Región de_Generación",NA,NA,NA,NA,NA,NA,NA,NA,"493814.7","445165.5","507070.9","502097.5","429200.2","411335.1","518931.1","417292.6","443129.2","366041.3","413105.9","392173.2","277829.3","255367.1","395816.2","379625.7","436511.5","420747.2","550854.6","748273.7","450053.6","462171.6","517720.4","600278.9","532086.2","781793","1403032.1","773916.9","620823.3","809445.7","1240704.9","753925.6","555857.5","760250.9","866222.7","900851.2","932170.8","879898.6","1290670.2","780267.1","685758.8","766535.7","848422.9","597677.7"
"Murcia, Región de_Demanda",NA,NA,NA,NA,NA,NA,NA,NA,"690719.4","646864","729860","699781.1","685705.9","668361.5","771357.3","692984.7","728670.2","705101.9","821673.7","712749.9","726879.4","725693.4","828663.1","731726.9","739898.6","756752.1","851314.9","777374.7","778411.2","762543.6","865344.8","740508.2","777952","751059.7","855560.3","760902.1","761929.1","694324","862582.4","749337.1","765285","731577.8","866613.8","737517.2","754693.7","732276.3","841784.9","688255.5","730015.6","657700.2","839550.4","730167.7"
"Navarra, Comunidad Foral de_Generación",NA,NA,NA,NA,NA,NA,NA,NA,"438794.7","479141.8","363294.7","457558.7","397904","377036.2","352541.1","413571.3","487955.5","429488.9","414266.3","372884.3","431689.7","458860.8","537694.2","448958.2","539974","393259.4","479705.5","549192.3","481651.9","423972.2","381361.3","440736.6","564518.7","595893.3","706578","622836.9","500584.5","448534.9","769897.4","485405.5","589912.1","615462.5","739030.3","949289.1","973755.2","634066.4","809426.1","646826.2","621219.6","628898.8","660175.9","466188.5"
"Navarra, Comunidad Foral de_Demanda",NA,NA,NA,NA,NA,NA,NA,NA,"408190.4","389731.5","386362.3","408041.9","418467.6","391142.8","384966.2","399323.7","422909.3","399625.1","390491.1","401676.1","418373.4","414463.3","399318.5","417608.7","435420.4","419809.7","403669.7","425511.9","442250.8","417954.6","412949","427065.3","438541","426756.8","418147.2","433120.5","426781.9","364946.1","402427.5","420197.3","430783.3","418625","406578.6","424291.7","439297.7","425687.4","407368.6","409157.7","405656.5","377705.6","371925.1","399782.2"
"País Vasco_Generación",NA,NA,NA,NA,NA,NA,NA,NA,"579041.2","494212.8","566436.1","509388.4","414555","495887.4","625130.6","527152.9","519770.3","458084.3","536299.1","474123.2","438780.3","412552.2","384746.4","572559.7","443027.2","396546","531032.2","561397.1","411889.4","386586.1","386169.5","529266.8","509435.1","525584.9","893290.8","815150.5","515355.4","483650.4","606341.2","451870.5","427561.3","481189.2","600816.9","764005.2","836755.9","727467.2","882454.1","680096.3","393446.5","427745.8","521254.4","357661.5"
"País Vasco_Demanda",NA,NA,NA,NA,NA,NA,NA,NA,"1494606","1380924","1235944","1405500","1493273","1391709","1276288","1437814","1547673","1414511","1300182","1400136","1457221","1359263","1212875","1375025","1470570","1363987","1251223","1422073","1480841","1393466","1273539","1396424","1451692","1352574","1234350","1389507","1396862","1082953","1150975","1348395","1409832","1324697","1216479","1340619","1347038","1301812","1168182","1251753","1345444","1239232","1124334","1272207"
"Rioja, La_Generación",NA,NA,NA,NA,NA,NA,NA,NA,"181709.74","134951.42","109915.28","217324.61","140702.88","117246.89","89690.39","138214.07","161844.53","132367.31","197613.42","131701.9","158984.51","161911.22","232737.35","211117.23","219707.26","184833.09","265931.91","317281.28","188799.82","222387.4","221147.99","165433.16","180966.8","214439.33","241515.53","223978.87","136772.1","87338.6","148967.66","224261.19","188945.42","166520.86","151673.22","213448.98","190566.46","161074.43","213649.6","208931.32","229250.09","140717.6","158180.81","199376.09"
"Rioja, La_Demanda",NA,NA,NA,NA,NA,NA,NA,NA,"150193.9","132004.7","138422.4","145739.5","146715.7","131748.4","139121.6","144397.3","150840.5","133796.4","143384.2","145429.4","149719.4","137846.4","141990","146362.8","147620","136490.7","140396","143638.6","148589.1","135424.8","141744.7","144691.1","146442","134101.2","141426.4","145132.9","144002.8","116875.4","138551.2","140606.5","140151.5","129402.7","135012.7","139341.1","140726.9","129541.3","134222.8","128015.8","133124.2","116498.6","126900.5","134429.3"
"Andalucía_Diferencia",NA,NA,NA,NA,NA,NA,NA,NA,"-323399.77","-495037.13","-211353.19","-120981.26","-821071.51","-347452.13","-184726.76","-483060.11","-448539.62","-66523.74","-231496.43","-186727.11","-808435.92","-582253.04","-402504.9","-436690.1","-835412.7","-85324.89","-79481.62","-57185.76","-741747.49","-446572.3","-387725.08","-372424.52","-523874.74","-262627.72","-332949.41","-832539.41","-1314251.46","-638140.09","-654972.69","-1071780.31","-1338027.56","-567389.37","-990738.73","-542146.65","-740654.22","-228355.33","532645.08","-362243","-735623.78","-197168.77","-231155.82","-897222.89"
"Aragón_Diferencia",NA,NA,NA,NA,NA,NA,NA,NA,"461966.7","676115.1","587425.1","532079.5","299397.1","642093.8","582912.2","671585.1","486508.4","511886.1","480906.1","287207.9","257363.9","314452.7","318786.9","434947.9","468254.9","371927.4","694702.4","489682.4","444190.5","474436.6","361727.3","221916.9","284063.6","264383","408591.2","557283.2","408860.8","666148.7","937471.1","633533.9","866282.7","628199.1","515888","994592.2","966325.5","1097840.4","792702","538913.5","1005724.4","1183469.7","1000141.9","995733.2"
"Asturias, Principado de_Diferencia",NA,NA,NA,NA,NA,NA,NA,NA,"241406.82","-20906.51","368019.11","476264.11","-9766.92","139376.8","459743.89","369211.79","513073.74","297970.46","621040.77","675421.12","217697.4","-190417.33","193336.44","309151.98","368089.9","210913.48","126071.93","457244.13","207047.24","40898.54","233168.55","243556.5","96051.41","-105073.48","-6773.47","257912.51","132164.58","-24923.51","41466.26","57121.64","59310.38","20313.17","145603.44","454643.92","335863.72","146511.7","449667.48","257085.07","167628.53","-37930.85","-12908.88","72772.49"
"Balears, Illes_Diferencia",NA,NA,NA,NA,NA,NA,NA,NA,"-94652.69","-94913.16","-138954.13","-94316.22","-91271.29","-96983.53","-155031.22","-89466.95","-107839.54","-92189.32","-157000.82","-88234.52","-97299.36","-105684.62","-135546.94","-78330.4","-79855.14","-82111.27","-146064.1","-85071.7","-92064.7","-88218.75","-140952.15","-89883.78","-126267.99","-142408.92","-180044.38","-116225.56","-121621.59","-84605.8","-155774.2","-113510.91","-126549.33","-96017.66","-41178.65","-32997.35","-29783.71","-33637.72","-71777.84","-65711.96","-98626.23","-113715.32","-158137.27","-104885.18"
"Canarias_Diferencia",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cantabria_Diferencia",NA,NA,NA,NA,NA,NA,NA,NA,"-131734.2","-142615.1","-221836.8","-213828.3","-167646.6","-194784.6","-227317.8","-232118.3","-209726.1","-195255.9","-225727.7","-218745.1","-185628.6","-204445.2","-236535.8","-195003.8","-188349.8","-209990.4","-228615.1","-175883","-143229.5","-162735.6","-199858.8","-180279.6","-159977.8","-155919.3","-180985.5","-133425","-195774.1","-171854.9","-212877.9","-179429.6","-151433.5","-214665.8","-222534.4","-185825.8","-160986.9","-172659.2","-221925.7","-155474.1","-155426.9","-140315.8","-180215","-146652.3"
